engine | kind | provider | params | ttft_ms_p50 | ttft_ms_p99 | itl_p50_ms | itl_p99_ms | decode_tps | prefill_tps_cold | prefill_tps_cached | load_s | gpu_peak_mib | gpu_power_peak_w | rss_peak_mib | tokens_source
--------------------------------------------------------------------------------------------------------------------------------------------
b11147-cuda | llamacpp | direct | {'ctx': 4096, 'np': 1} | 110 | 114 | 23.97 | 24.9 | 41.71 | 1342.6 | 8201.4 | 4.04 | 5319 | 55.9 | 5718 | chunks
b11147-cuda | llamacpp | direct | {'ctx': 4096, 'np': 4} | 109 | 112 | 24.05 | 25.21 | 41.53 | 1364.6 | 8307.5 | 2.01 | 5459 | 55.2 | 5770 | chunks
b11147-cuda | llamacpp | direct | {'ctx': 16384, 'np': 1} | 109 | 112 | 24.08 | 25.16 | 41.5 | 1367.9 | 8292.5 | 2.01 | 5709 | 55.9 | 5770 | chunks
b11147-cuda | llamacpp | direct | {'ctx': 16384, 'np': 4} | 108 | 112 | 24.06 | 25.1 | 41.52 | 1407.7 | 8209.3 | 2.01 | 5847 | 55.5 | 5770 | chunks
b11147-cuda | llamacpp | direct | {'ctx': 4096, 'kv': 'q8_0', 'np': 1} | 108 | 119 | 24.26 | 25.34 | 41.15 | 1374.1 | 8312.1 | 2.02 | 5261 | 56.0 | 5770 | chunks
b11147-cuda | llamacpp | direct | {'ctx': 4096, 'np': 1, 'spec': 'ngram-simple'} | 118 | 122 | 24.56 | 25.5 | 40.69 | 1343.9 | 7642.3 | 2.54 | 5319 | 57.3 | 5771 | chunks
b11147-cuda | llamacpp | direct | {'ctx': 4096, 'mmproj': True, 'np': 1} | 116 | 121 | 24.37 | 25.59 | 40.99 | 1339.0 | 7727.7 | 3.01 | 6439 | 55.2 | 5776 | chunks
b11147-cuda | llamacpp | blazar | {'config': 'default'} | 120 | 123 | 24.31 | 25.49 | 41.02 | 1365.6 | 7505.3 | - | 5715 | 56.3 | 1992 | chunks
b11147-cuda | llamacpp | blazar | {'config': 'single-stream'} | 118 | 124 | 24.32 | 25.43 | 41.08 | 1317.7 | 7309.2 | - | 5715 | 56.3 | 1993 | chunks
v0.9.3 | mistralrs | blazar | {'config': 'default'} | 125 | 129 | 24.43 | 25.57 | 40.87 | 1338.7 | 7538.8 | - | 5501 | 55.6 | 1990 | chunks
v0.9.3 | mistralrs | blazar | {'config': 'paged_attn_off'} | 122 | 125 | 24.41 | 25.46 | 40.91 | 1326.5 | 7556.7 | - | 5501 | 55.4 | 1990 | chunks
v0.9.3 | mistralrs | blazar | {'config': 'single-stream'} | 124 | 127 | 24.42 | 25.51 | 40.89 | 1333.3 | 7244.6 | - | 5715 | 55.5 | 1993 | chunks
ollama-host | ollama | ollama | {'reference': True} | 127 | 133 | 24.85 | 74.99 | 40.64 | 1364.7 | 8357.6 | - | 6626 | 55.5 | 0 | engine_counters
