engine | kind | provider | params | ttft_ms_p50 | ttft_ms_p99 | itl_p50_ms | itl_p99_ms | decode_tps | prefill_tps_cold | prefill_tps_cached | load_s | gpu_peak_mib | gpu_power_peak_w | rss_peak_mib | tokens_source
--------------------------------------------------------------------------------------------------------------------------------------------
inventory | inventory | inventory | {} | - | - | - | - | - | - | - | - | 0 | - | 0 | -
b11193-cuda | llamacpp | direct | {'ctx': 4096, 'np': 1} | 127 | 129 | 24.08 | 25.23 | 41.49 | 1306.9 | 7275.9 | 6.05 | 5270 | 55.1 | 5413 | chunks
b11193-cuda | llamacpp | direct | {'ctx': 4096, 'np': 4} | 124 | 127 | 24.11 | 25.42 | 41.43 | 1305.4 | 7442.9 | 2.55 | 5416 | 56.3 | 5719 | chunks
b11193-cuda | llamacpp | direct | {'ctx': 16384, 'np': 1} | 122 | 126 | 24.15 | 25.09 | 41.37 | 1366.8 | 7344.0 | 2.51 | 5666 | 56.7 | 5714 | chunks
b11193-cuda | llamacpp | direct | {'ctx': 16384, 'np': 4} | 128 | 131 | 24.21 | 25.47 | 41.24 | 1308.6 | 7331.7 | 2.51 | 5804 | 56.4 | 5716 | chunks
b11193-cuda | llamacpp | direct | {'ctx': 4096, 'kv': 'q8_0', 'np': 1} | 120 | 125 | 24.34 | 25.8 | 40.99 | 1363.0 | 7546.7 | 2.51 | 5210 | 56.7 | 5717 | chunks
b11193-cuda | llamacpp | direct | {'ctx': 4096, 'np': 1, 'spec': 'ngram-simple'} | 123 | 125 | 24.35 | 25.8 | 40.99 | 1327.2 | 7591.7 | 2.11 | 5270 | 55.4 | 5709 | chunks
b11193-cuda | llamacpp | direct | {'ctx': 4096, 'mmproj': True, 'np': 1} | 123 | 125 | 23.98 | 25.07 | 41.67 | 1345.7 | 7517.1 | 3.01 | 6400 | 56.4 | 5721 | chunks
v0.9.4 | mistralrs | direct | {'ctx': 4096, 'np': 1} | - | - | - | - | - | - | - | - | 0 | - | 0 | -
v0.9.4 | mistralrs | direct | {'ctx': 4096, 'np': 4} | - | - | - | - | - | - | - | - | 0 | - | 0 | -
v0.9.4 | mistralrs | direct | {'ctx': 16384, 'np': 1} | - | - | - | - | - | - | - | - | 0 | - | 0 | -
v0.9.4 | mistralrs | direct | {'ctx': 16384, 'np': 4} | - | - | - | - | - | - | - | - | 0 | - | 0 | -
v0.9.4 | mistralrs | direct | {'ctx': 4096, 'np': 1, 'pa': 'off'} | - | - | - | - | - | - | - | - | 0 | - | 0 | -
b11193-cuda | llamacpp | blazar | {'config': 'default'} | 122 | 126 | 24.11 | 25.28 | 41.42 | 1319.0 | 7328.5 | - | 5452 | 55.4 | 1983 | chunks
b11193-cuda | llamacpp | blazar | {'config': 'single-stream'} | 123 | 125 | 24.09 | 25.22 | 41.46 | 1302.0 | 7304.5 | - | 5666 | 55.8 | 1987 | chunks
v0.9.4 | mistralrs | blazar | {'config': 'default'} | 125 | 126 | 24.12 | 25.25 | 41.4 | 1327.5 | 7166.5 | - | 5458 | 55.8 | 1984 | chunks
v0.9.4 | mistralrs | blazar | {'config': 'paged_attn_off'} | 124 | 127 | 24.1 | 24.98 | 41.45 | 1322.9 | 7136.9 | - | 5458 | 56.3 | 1984 | chunks
v0.9.4 | mistralrs | blazar | {'config': 'single-stream'} | 123 | 126 | 24.1 | 25.38 | 41.45 | 1329.3 | 7240.1 | - | 5672 | 55.3 | 1987 | chunks
ollama-host | ollama | ollama | {'reference': True} | 125 | 127 | 24.93 | 74.97 | 40.46 | 1442.4 | 7701.3 | - | 6566 | 55.2 | 0 | engine_counters
